                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86505,                0.42136,                0.78994,                0.93238,                0.73804,                0.81122,                 0.5326,                0.81515,                0.41647,                0.78924,             0.00081688,             0.00081688,             0.00081688
                     37,                0.87712,                0.42475,                0.78726,                0.91166,                0.74102,                0.80562,                0.53264,                0.87162,                0.44985,                0.79191,              0.0008045,              0.0008045,              0.0008045
                     38,                0.90562,                0.43501,                0.78989,                0.83955,                0.76428,                0.80886,                0.55011,                0.79816,                0.41516,                0.78851,             0.00079213,             0.00079213,             0.00079213
                     39,                0.87863,                0.40984,                0.78707,                0.92012,                0.76542,                0.82388,                0.53333,                0.83125,                0.42798,                0.78661,             0.00077975,             0.00077975,             0.00077975
                     40,                0.86299,                0.41016,                0.78824,                0.90323,                0.72669,                 0.8144,                0.56072,                0.79348,                0.40244,                0.78743,             0.00076738,             0.00076738,             0.00076738
                     41,                0.87404,                0.41065,                  0.785,                 0.9042,                0.73144,                0.79598,                0.52614,                0.87385,                0.43622,                0.79096,               0.000755,               0.000755,               0.000755
                     42,                0.95369,                0.44353,                0.79242,                0.92882,                0.71388,                 0.7783,                0.51779,                0.86469,                0.43721,                 0.7898,             0.00074263,             0.00074263,             0.00074263
                     43,                 0.8899,                0.42061,                 0.7884,                0.90972,                0.70996,                0.79229,                0.54314,                0.80998,                0.41799,                0.79001,             0.00073025,             0.00073025,             0.00073025
                     44,                0.87523,                 0.4128,                0.78813,                0.93663,                 0.7155,                0.81632,                0.51995,                0.90786,                0.44873,                0.79133,             0.00071788,             0.00071788,             0.00071788
                     45,                0.85881,                 0.4121,                0.78826,                0.93383,                0.74505,                0.81152,                0.55248,                0.84309,                0.42303,                0.78895,              0.0007055,              0.0007055,              0.0007055
                     46,                0.85491,                0.40202,                0.78411,                0.90627,                0.75751,                0.80266,                0.57059,                0.78317,                0.40125,                0.78821,             0.00069313,             0.00069313,             0.00069313
                     47,                0.83918,                0.39082,                 0.7856,                0.88721,                0.72944,                 0.7923,                0.53605,                0.82392,                 0.4179,                0.79068,             0.00068075,             0.00068075,             0.00068075
                     48,                 0.8669,                0.39931,                 0.7856,                0.91552,                0.74644,                0.80882,                0.55897,                0.77904,                0.40566,                0.78637,             0.00066838,             0.00066838,             0.00066838
